a (a) (Article)
sick (sick,sicks,sicked,sicking) (Verb)
sick (sick,sicker,sickest) (Adjective)
side (side,sides,sided,siding) (Verb)
side (side) (Adjective)
side (side,sides,side's,sides') (Noun)
sigh (sigh,sighs,sighed,sighing) (Verb)
sigh (sigh,sighs,sigh's,sighs') (Noun)
sight (sight,sights,sighted,sighting) (Verb)
sight (sight) (Adjective)
sight (sight,sights,sight's,sights') (Noun)
sign (sign,signs,signed,signing) (Verb)
sign (sign,signs,sign's,signs') (Noun)
signal (signal,signals,signalled,signaled,signalling,signaling) (Verb)
signal (signal) (Adjective)
signal (signal,signals,signal's,signals') (Noun)
silence (silence,silences,silenced,silencing) (Verb)
silence (silence,silences,silence's,silences') (Noun)
silent (silent) (Adjective)
silk (silk,silks,silk's,silks') (Noun)
silver (silver,silvers,silvered,silvering) (Verb)
silver (silver) (Adjective)
silver (silver,silvers,silver's,silvers') (Noun)
similar (similar) (Adjective)
simple (simple,simpler,simplest) (Adjective)
simple (simple,simples,simple's,simples') (Noun)
sin (sin,sins,sinned,sinning) (Verb)
sin (sin,sins,sin's,sins') (Noun)
since (since) (Conjunction)
since (since) (Preposition)
since (since) (Adverb)
sing (sing,sings,sang,sung,singing) (Verb)
single (single,singles,singled,singling) (Verb)
single (single) (Adjective)
single (single,singles,single's,singles') (Noun)
singular (singular) (Adjective)
singular (singular,singulars,singular's,singulars') (Noun)
sinister (sinister) (Adjective)
sink (sink,sinks,sank,sunk,sinking) (Verb)
sink (sink,sinks,sink's,sinks') (Noun)
sip (sip,sips,sipped,sipping) (Verb)
sip (sip,sips,sip's,sips') (Noun)
sir (sir,sirs,sir's,sirs') (Noun)
sister (sister,sisters,sister's,sisters') (Noun)
sit (sit,sits,sat,sitting) (Verb)
situation (situation,situations,situation's,situations') (Noun)
six (six) (Adjective)
six (six,sixes,six's,sixes') (Noun)
sixty (sixty) (Adjective)
sixty (sixty,sixties,sixty's,sixties') (Noun)
size (size,sizes,sized,sizing) (Verb)
size (size) (Adjective)
size (size,sizes,size's,sizes') (Noun)
skill (skill,skills,skill's,skills') (Noun)
skin (skin,skins,skinned,skinning) (Verb)
skin (skin,skins,skin's,skins') (Noun)
skirt (skirt,skirts,skirted,skirting) (Verb)
skirt (skirt,skirts,skirt's,skirts') (Noun)
skull (skull,skulls,skull's,skulls') (Noun)
sky (sky,skies,skied,skying) (Verb)
sky (sky,skies,sky's,skies') (Noun)
slab (slab,slabs,slabbed,slabbing) (Verb)
slab (slab) (Adjective)
slab (slab,slabs,slab's,slabs') (Noun)
slam (slam,slams,slammed,slamming) (Verb)
slam (slam,slams,slam's,slams') (Noun)
slant (slant,slants,slanted,slanting) (Verb)
slant (slant) (Adjective)
slant (slant,slants,slant's,slants') (Noun)
slap (slap,slaps,slapped,slapping) (Verb)
slap (slap) (Adverb)
slap (slap,slaps,slap's,slaps') (Noun)
slave (slave,slaves,slaved,slaving) (Verb)
slave (slave) (Adjective)
slave (slave,slaves,slave's,slaves') (Noun)
slay (slay,slays,slew,slain,slaying) (Verb)
sleep (sleep,sleeps,slept,sleeping) (Verb)
sleep (sleep,sleeps,sleep's,sleeps') (Noun)
sleepy (sleepy,sleepier,sleepiest) (Adjective)
sleeve (sleeve,sleeves,sleeve's,sleeves') (Noun)
slice (slice,slices,sliced,slicing) (Verb)
slice (slice,slices,slice's,slices') (Noun)
slide (slide,slides,slid,sliding) (Verb)
slide (slide,slides,slide's,slides') (Noun)
slight (slight,slights,slighted,slighting) (Verb)
slight (slight,slighter,slightest) (Adjective)
slight (slight,slights,slight's,slights') (Noun)
slip (slip,slips,slipped,slipping) (Verb)
slip (slip) (Adjective)
slip (slip,slips,slip's,slips') (Noun)
slop (slop,slops,slopped,slopping) (Verb)
slop (slop,slops,slop's,slops') (Noun)
slope (slope,slopes,sloped,sloping) (Verb)
slope (slope) (Adjective)
slope (slope,slopes,slope's,slopes') (Noun)
slow (slow,slows,slowed,slowing) (Verb)
slow (slow,slower,slowest) (Adverb)
slow (slow,slower,slowest) (Adjective)
small (small,smaller,smallest) (Adverb)
small (small,smaller,smallest) (Adjective)
small (small,smalls,small's,smalls') (Noun)
smart (smart,smarts,smarted,smarting) (Verb)
smart (smart,smarter,smartest) (Adverb)
smart (smart,smarter,smartest) (Adjective)
smart (smart,smarts,smart's,smarts') (Noun)
smash (smash,smashes,smashed,smashing) (Verb)
smash (smash) (Adverb)
smash (smash) (Adjective)
smash (smash,smashes,smash's,smashes') (Noun)
smell (smell,smells,smelt,smelled,smelling) (Verb)
smell (smell,smells,smell's,smells') (Noun)
smile (smile,smiles,smiled,smiling) (Verb)
smile (smile,smiles,smile's,smiles') (Noun)
smoke (smoke,smokes,smoked,smoking) (Verb)
smoke (smoke,smokes,smoke's,smokes') (Noun)
smooth (smooth,smooths,smoothed,smoothing) (Verb)
smooth (smooth) (Adverb)
smooth (smooth,smoother,smoothest) (Adjective)
snake (snake,snakes,snaked,snaking) (Verb)
snake (snake,snakes,snake's,snakes') (Noun)
snap (snap,snaps,snapped,snapping) (Verb)
snap (snap) (Adverb)
snap (snap) (Adjective)
snap (snap,snaps,snap's,snaps') (Noun)
snarl (snarl,snarls,snarled,snarling) (Verb)
snarl (snarl,snarls,snarl's,snarls') (Noun)
snatch (snatch,snatches,snatched,snatching) (Verb)
snatch (snatch,snatches,snatch's,snatches') (Noun)
sneak (sneak,sneaks,sneaked,sneaking) (Verb)
sneak (sneak) (Adjective)
sneak (sneak,sneaks,sneak's,sneaks') (Noun)
sneer (sneer,sneers,sneered,sneering) (Verb)
sneer (sneer,sneers,sneer's,sneers') (Noun)
sniff (sniff,sniffs,sniffed,sniffing) (Verb)
sniff (sniff,sniffs,sniff's,sniffs') (Noun)
snore (snore,snores,snored,snoring) (Verb)
snore (snore,snores,snore's,snores') (Noun)
snort (snort,snorts,snorted,snorting) (Verb)
snort (snort,snorts,snort's,snorts') (Noun)
snow (snow,snows,snowed,snowing) (Verb)
snow (snow,snows,snow's,snows') (Noun)
so (so) (Conjunction)
so (so) (Pronoun)
so (so) (Adverb)
soak (soak,soaks,soaked,soaking) (Verb)
soak (soak,soaks,soak's,soaks') (Noun)
soar (soar,soars,soared,soaring) (Verb)
soar (soar,soars,soar's,soars') (Noun)
sob (sob,sobs,sobbed,sobbing) (Verb)
sob (sob,sobs,sob's,sobs') (Noun)
social (social) (Adjective)
social (social,socials,social's,socials') (Noun)
society (society) (Adjective)
society (society,societies,society's,societies') (Noun)
sock (sock,socks,socked,socking) (Verb)
sock (sock,socks,sock's,socks') (Noun)
sofa (sofa,sofas,sofa's,sofas') (Noun)
soft (soft,softer,softest) (Adverb)
soft (soft,softer,softest) (Adjective)
soften (soften,softens,softened,softening) (Verb)
soil (soil,soils,soiled,soiling) (Verb)
soil (soil,soils,soil's,soils') (Noun)
soldier (soldier,soldiers,soldiered,soldiering) (Verb)
soldier (soldier,soldiers,soldier's,soldiers') (Noun)
sole (sole,soles,soled,soling) (Verb)
sole (sole) (Adjective)
sole (sole,soles,sole's,soles') (Noun)
solemn (solemn) (Adjective)
solid (solid) (Adverb)
solid (solid) (Adjective)
solid (solid,solids,solid's,solids') (Noun)
solitary (solitary) (Adjective)
solitary (solitary,solitaries,solitary's,solitaries') (Noun)
solution (solution,solutions,solution's,solutions') (Noun)
some (some) (QuantitativePronoun)
some (some) (Adverb)
some (some) (Adjective)
somebody (somebody,somebody's) (PronounIndefinite)
somebody (somebody,somebodies,somebody's,somebodies') (Noun)
somehow (somehow) (Adverb)
someone (someone,someone's) (PronounIndefinite)
something (something) (PronounUninflected)
something (something) (Adverb)
sometime (sometime) (Adverb)
sometime (sometime) (Adjective)
somewhat (somewhat) (PronounUninflected)
somewhat (somewhat) (Adverb)
somewhere (somewhere) (Adverb)
son (son,sons,son's,sons') (Noun)
song (song,songs,song's,songs') (Noun)
soon (soon,sooner,soonest) (Adverb)
sore (sore,sorer,sorest) (Adverb)
sore (sore,sorer,sorest) (Adjective)
sore (sore,sores,sore's,sores') (Noun)
sorrow (sorrow,sorrows,sorrowed,sorrowing) (Verb)
sorrow (sorrow,sorrows,sorrow's,sorrows') (Noun)
sorry (sorry,sorrier,sorriest) (Adjective)
sort (sort,sorts,sorted,sorting) (Verb)
sort (sort,sorts,sort's,sorts') (Noun)
soul (soul) (Adjective)
soul (soul,souls,soul's,souls') (Noun)
sound (sound,sounds,sounded,sounding) (Verb)
sound (sound) (Adverb)
sound (sound,sounder,soundest) (Adjective)
sound (sound,sounds,sound's,sounds') (Noun)
soup (soup,soups,souped,souping) (Verb)
soup (soup,soups,soup's,soups') (Noun)
source (source,sources,source's,sources') (Noun)
south (south) (Adverb)
south (south) (Adjective)
south (south,souths,south's,souths') (Noun)
southern (southern) (Adjective)
southward (southward) (Adverb)
space (space,spaces,spaced,spacing) (Verb)
space (space,spaces,space's,spaces') (Noun)
spare (spare,spares,spared,sparing) (Verb)
spare (spare,sparer,sparest) (Adjective)
spare (spare,spares,spare's,spares') (Noun)
spark (spark,sparks,sparked,sparking) (Verb)
spark (spark,sparks,spark's,sparks') (Noun)
sparkle (sparkle,sparkles,sparkled,sparkling) (Verb)
sparkle (sparkle,sparkles,sparkle's,sparkles') (Noun)
sparkler (sparkler,sparklers,sparkler's,sparklers') (Noun)
speak (speak,speaks,spoke,spoken,speaking) (Verb)
speaker (speaker,speakers,speaker's,speakers') (Noun)
spear (spear,spears,speared,spearing) (Verb)
spear (spear) (Adjective)
spear (spear,spears,spear's,spears') (Noun)
special (special) (Adjective)
special (special,specials,special's,specials') (Noun)
specimen (specimen,specimens,specimen's,specimens') (Noun)
spectacle (spectacle,spectacles,spectacle's,spectacles') (Noun)
specter (specter,specters,specter's,specters') (Noun)
speech (speech,speeches,speech's,speeches') (Noun)
speed (speed,speeds,speeded,sped,speeding) (Verb)
speed (speed) (Adjective)
speed (speed,speeds,speed's,speeds') (Noun)
spell (spell,spells,spelled,spelling) (Verb)
spell (spell,spells,spell's,spells') (Noun)
spend (spend,spends,spent,spending) (Verb)
spider (spider,spiders,spider's,spiders') (Noun)
spin (spin,spins,spun,spinning) (Verb)
spin (spin,spins,spin's,spins') (Noun)
spirit (spirit,spirits,spirited,spiriting) (Verb)
spirit (spirit,spirits,spirit's,spirits') (Noun)
spite (spite,spites,spited,spiting) (Verb)
spite (spite,spite's) (Noun)
splash (splash,splashes,splashed,splashing) (Verb)
splash (splash,splashes,splash's,splashes') (Noun)
splendid (splendid) (Adjective)
split (split,splits,splitting) (Verb)
split (split) (Adjective)
split (split,splits,split's,splits') (Noun)
spoon (spoon,spoons,spooned,spooning) (Verb)
spoon (spoon,spoons,spoon's,spoons') (Noun)
sport (sport,sports,sported,sporting) (Verb)
sport (sport) (Adjective)
sport (sport,sports,sport's,sports') (Noun)
spot (spot,spots,spotted,spotting) (Verb)
spot (spot) (Adjective)
spot (spot,spots,spot's,spots') (Noun)
sprawl (sprawl,sprawls,sprawled,sprawling) (Verb)
sprawl (sprawl,sprawls,sprawl's,sprawls') (Noun)
spray (spray,sprays,sprayed,spraying) (Verb)
spray (spray,sprays,spray's,sprays') (Noun)
spread (spread,spreads,spreading) (Verb)
spread (spread) (Adjective)
spread (spread,spreads,spread's,spreads') (Noun)
spring (spring,springs,sprang,sprung,springing) (Verb)
spring (spring) (Adjective)
spring (spring,springs,spring's,springs') (Noun)
spy (spy,spies,spied,spying) (Verb)
spy (spy,spies,spy's,spies') (Noun)
square (square,squares,squared,squaring) (Verb)
square (square) (Adverb)
square (square,squarer,squarest) (Adjective)
square (square,squares,square's,squares') (Noun)
squat (squat,squats,squatted,squatting) (Verb)
squat (squat,squatter,squattest) (Adjective)
squat (squat,squats,squat's,squats') (Noun)
squeak (squeak,squeaks,squeaked,squeaking) (Verb)
squeak (squeak,squeaks,squeak's,squeaks') (Noun)
squeeze (squeeze,squeezes,squeezed,squeezing) (Verb)
squeeze (squeeze,squeezes,squeeze's,squeezes') (Noun)
squint (squint,squints,squinted,squinting) (Verb)
squint (squint) (Adjective)
squint (squint,squints,squint's,squints') (Noun)
stab (stab,stabs,stabbed,stabbing) (Verb)
stab (stab,stabs,stab's,stabs') (Noun)
stable (stable,stables,stabled,stabling) (Verb)
stable (stable,stabler,stablest) (Adjective)
stable (stable,stables,stable's,stables') (Noun)
stack (stack,stacks,stacked,stacking) (Verb)
stack (stack,stacks,stack's,stacks') (Noun)
staff (staff,staffs,staffed,staffing) (Verb)
staff (staff) (Adjective)
staff (staff,staffs,staves,staff's,staffs') (Noun)
stage (stage,stages,staged,staging) (Verb)
stage (stage,stages,stage's,stages') (Noun)
stagger (stagger,staggers,staggered,staggering) (Verb)
stagger (stagger) (Adjective)
stagger (stagger,staggers,stagger's,staggers') (Noun)
stain (stain,stains,stained,staining) (Verb)
stain (stain,stains,stain's,stains') (Noun)
stair (stair,stairs,stair's,stairs') (Noun)
staircase (staircase,staircases,staircase's,staircases') (Noun)
stalk (stalk,stalks,stalked,stalking) (Verb)
stalk (stalk,stalks,stalk's,stalks') (Noun)
stamp (stamp,stamps,stamped,stamping) (Verb)
stamp (stamp,stamps,stamp's,stamps') (Noun)
stand (stand,stands,stood,standing) (Verb)
stand (stand,stands,stand's,stands') (Noun)
standard (standard) (Adjective)
standard (standard,standards,standard's,standards') (Noun)
star (star,stars,starred,starring) (Verb)
star (star) (Adjective)
star (star,stars,star's,stars') (Noun)
stare (stare,stares,stared,staring) (Verb)
stare (stare,stares,stare's,stares') (Noun)
start (start,starts,started,starting) (Verb)
start (start,starts,start's,starts') (Noun)
startle (startle,startles,startled,startling) (Verb)
startle (startle,startles,startle's,startles') (Noun)
starve (starve,starves,starved,starving) (Verb)
state (state,states,stated,stating) (Verb)
state (state,states,state's,states') (Noun)
statement (statement,statements,statement's,statements') (Noun)
station (station,stations,stationed,stationing) (Verb)
station (station,stations,station's,stations') (Noun)
statue (statue,statues,statue's,statues') (Noun)
stay (stay,stays,stayed,staying) (Verb)
stay (stay,stays,stay's,stays') (Noun)
steady (steady,steadies,steadied,steadying) (Verb)
steady (steady,steadier,steadiest) (Adverb)
steady (steady,steadier,steadiest) (Adjective)
steady (steady,steadies,steady's,steadies') (Noun)
steal (steal,steals,stole,stolen,stealing) (Verb)
steal (steal,steals,steal's,steals') (Noun)
steam (steam,steams,steamed,steaming) (Verb)
steam (steam,steams,steam's,steams') (Noun)
steel (steel,steels,steeled,steeling) (Verb)
steel (steel) (Adjective)
steel (steel,steels,steel's,steels') (Noun)
steep (steep,steeps,steeped,steeping) (Verb)
steep (steep,steeper,steepest) (Adjective)
steep (steep,steeps,steep's,steeps') (Noun)
steeple (steeple,steeples,steeple's,steeples') (Noun)
steer (steer,steers,steered,steering) (Verb)
steer (steer,steers,steer's,steers') (Noun)
step (step,steps,stepped,stepping) (Verb)
step (step,steps,step's,steps') (Noun)
Stephen (Stephen,Stephen's) (Noun)
steppe (steppe,steppes,steppe's,steppes') (Noun)
stern (stern,sterner,sternest) (Adjective)
stern (stern,sterns,stern's,sterns') (Noun)
steward (steward,stewards,stewarded,stewarding) (Verb)
steward (steward,stewards,steward's,stewards') (Noun)
steward (steward,steward's) (Noun)
stick (stick,sticks,stuck,sticking) (Verb)
stick (stick,sticks,stick's,sticks') (Noun)
stiff (stiff,stiffs,stiffed,stiffing) (Verb)
stiff (stiff,stiffer,stiffest) (Adverb)
stiff (stiff,stiffer,stiffest) (Adjective)
stiff (stiff,stiffs,stiff's,stiffs') (Noun)
still (still,stills,stilled,stilling) (Verb)
still (still,stiller,stillest) (Adverb)
still (still,stiller,stillest) (Adjective)
still (still,stills,still's,stills') (Noun)
stir (stir,stirs,stirred,stirring) (Verb)
stir (stir,stirs,stir's,stirs') (Noun)
stock (stock,stocks,stocked,stocking) (Verb)
stock (stock) (Adverb)
stock (stock) (Adjective)
stock (stock,stocks,stock's,stocks') (Noun)
stomach (stomach,stomachs,stomached,stomaching) (Verb)
stomach (stomach,stomachs,stomach's,stomachs') (Noun)
stone (stone,stones,stoned,stoning) (Verb)
stone (stone) (Adjective)
stone (stone,stones,stone's,stones') (Noun)
stony (stony,stonier,stoniest) (Adjective)
stool (stool,stools,stooled,stooling) (Verb)
stool (stool,stools,stool's,stools') (Noun)
stoop (stoop,stoops,stooped,stooping) (Verb)
stoop (stoop,stoops,stoop's,stoops') (Noun)
stop (stop,stops,stopped,stopping) (Verb)
stop (stop) (Adjective)
stop (stop,stops,stop's,stops') (Noun)
store (store,stores,stored,storing) (Verb)
store (store) (Adjective)
store (store,stores,store's,stores') (Noun)
storm (storm,storms,stormed,storming) (Verb)
storm (storm,storms,storm's,storms') (Noun)
story (story,stories,story's,stories') (Noun)
stout (stout,stouter,stoutest) (Adjective)
stout (stout,stouts,stout's,stouts') (Noun)
straight (straight,straighter,straightest) (Adverb)
straight (straight,straighter,straightest) (Adjective)
straight (straight,straights,straight's,straights') (Noun)
straighten (straighten,straightens,straightened,straightening) (Verb)
strain (strain,strains,strained,straining) (Verb)
strain (strain,strains,strain's,strains') (Noun)
strange (strange,stranger,strangest) (Adverb)
strange (strange,stranger,strangest) (Adjective)
stranger (stranger,strangers,stranger's,strangers') (Noun)
strap (strap,straps,strapped,strapping) (Verb)
strap (strap,straps,strap's,straps') (Noun)
straw (straw) (Adjective)
straw (straw,straws,straw's,straws') (Noun)
stray (stray,strays,strayed,straying) (Verb)
stray (stray) (Adjective)
stray (stray,strays,stray's,strays') (Noun)
stream (stream,streams,streamed,streaming) (Verb)
stream (stream,streams,stream's,streams') (Noun)
street (street) (Adjective)
street (street,streets,street's,streets') (Noun)
strength (strength,strengths,strength's,strengths') (Noun)
stretch (stretch,stretches,stretched,stretching) (Verb)
stretch (stretch) (Adjective)
stretch (stretch,stretches,stretch's,stretches') (Noun)
strict (strict,stricter,strictest) (Adjective)
stride (stride,strides,strode,stridden,striding) (Verb)
stride (stride,strides,stride's,strides') (Noun)
strike (strike,strikes,struck,stricken,striking) (Verb)
strike (strike,strikes,strike's,strikes') (Noun)
strip (strip,strips,stripped,stripping) (Verb)
strip (strip,strips,strip's,strips') (Noun)
stroke (stroke,strokes,stroked,stroking) (Verb)
stroke (stroke,strokes,stroke's,strokes') (Noun)
stroll (stroll,strolls,strolled,strolling) (Verb)
stroll (stroll,strolls,stroll's,strolls') (Noun)
strong (strong,stronger,strongest) (Adverb)
strong (strong,stronger,strongest) (Adjective)
structure (structure,structures,structured,structuring) (Verb)
structure (structure,structures,structure's,structures') (Noun)
struggle (struggle,struggles,struggled,struggling) (Verb)
struggle (struggle,struggles,struggle's,struggles') (Noun)
student (student,students,student's,students') (Noun)
study (study,studies,studied,studying) (Verb)
study (study,studies,study's,studies') (Noun)
stuff (stuff,stuffs,stuffed,stuffing) (Verb)
stuff (stuff,stuff's) (Noun)
stumble (stumble,stumbles,stumbled,stumbling) (Verb)
stumble (stumble,stumbles,stumble's,stumbles') (Noun)
stun (stun,stuns,stunned,stunning) (Verb)
stun (stun,stuns,stun's,stuns') (Noun)
stupid (stupid,stupider,stupidest) (Adjective)
style (style,styles,styled,styling) (Verb)
style (style,styles,style's,styles') (Noun)
subject (subject,subjects,subjected,subjecting) (Verb)
subject (subject) (Adjective)
subject (subject,subjects,subject's,subjects') (Noun)
substance (substance,substances,substance's,substances') (Noun)
subtle (subtle,subtler,subtlest) (Adjective)
succeed (succeed,succeeds,succeeded,succeeding) (Verb)
success (success,successes,success's,successes') (Noun)
successful (successful) (Adjective)
such (such) (Pronoun)
such (such) (Adverb)
such (such) (Adjective)
suck (suck,sucks,sucked,sucking) (Verb)
suck (suck,sucks,suck's,sucks') (Noun)
sudden (sudden) (Adjective)
suffer (suffer,suffers,suffered,suffering) (Verb)
sufficient (sufficient) (Adjective)
sugar (sugar,sugars,sugared,sugaring) (Verb)
sugar (sugar,sugars,sugar's,sugars') (Noun)
suggest (suggest,suggests,suggested,suggesting) (Verb)
suggestion (suggestion,suggestions,suggestion's,suggestions') (Noun)
suit (suit,suits,suited,suiting) (Verb)
suit (suit,suits,suit's,suits') (Noun)
sullen (sullen) (Adjective)
sum (sum,sums,summed,summing) (Verb)
sum (sum,sums,sum's,sums') (Noun)
summer (summer,summers,summered,summering) (Verb)
summer (summer,summers,summer's,summers') (Noun)
summon (summon,summons,summoned,summoning) (Verb)
sun (sun,suns,sunned,sunning) (Verb)
sun (sun,suns,sun's,suns') (Noun)
Sunday (Sunday,Sundays,Sunday's,Sundays') (Noun)
sunlight (sunlight,sunlight's) (Noun)
sunset (sunset,sunsets,sunset's,sunsets') (Noun)
superior (superior) (Adjective)
superior (superior,superiors,superior's,superiors') (Noun)
supper (supper,suppers,supper's,suppers') (Noun)
supple (supple,supples,suppled,suppling) (Verb)
supple (supple,suppler,supplest) (Adjective)
supply (supply,supplies,supplied,supplying) (Verb)
supply (supply,supplies,supply's,supplies') (Noun)
support (support,supports,supported,supporting) (Verb)
support (support,supports,support's,supports') (Noun)
suppose (suppose,supposes,supposed,supposing) (Verb)
suppress (suppress,suppresses,suppressed,suppressing) (Verb)
supreme (supreme) (Adjective)
sure (sure,surer,surest) (Adverb)
sure (sure,surer,surest) (Adjective)
surface (surface,surfaces,surfaced,surfacing) (Verb)
surface (surface) (Adjective)
surface (surface,surfaces,surface's,surfaces') (Noun)
surprise (surprise,surprises,surprised,surprising) (Verb)
surprise (surprise,surprises,surprise's,surprises') (Noun)
surround (surround,surrounds,surrounded,surrounding) (Verb)
surround (surround,surrounds,surround's,surrounds') (Noun)
survey (survey,surveys,surveyed,surveying) (Verb)
survey (survey,surveys,survey's,surveys') (Noun)
survive (survive,survives,survived,surviving) (Verb)
Susan (Susan,Susan's) (Noun)
suspect (suspect,suspects,suspected,suspecting) (Verb)
suspect (suspect) (Adjective)
suspect (suspect,suspects,suspect's,suspects') (Noun)
suspicion (suspicion,suspicions,suspicion's,suspicions') (Noun)
suspicious (suspicious) (Adjective)
swallow (swallow,swallows,swallowed,swallowing) (Verb)
swallow (swallow,swallows,swallow's,swallows') (Noun)
swarm (swarm,swarms,swarmed,swarming) (Verb)
swarm (swarm,swarms,swarm's,swarms') (Noun)
sway (sway,sways,swayed,swaying) (Verb)
sway (sway,sways,sway's,sways') (Noun)
swear (swear,swears,swore,sworn,swearing) (Verb)
sweat (sweat,sweats,sweated,sweating) (Verb)
sweat (sweat) (Adjective)
sweat (sweat,sweats,sweat's,sweats') (Noun)
sweep (sweep,sweeps,swept,sweeping) (Verb)
sweep (sweep,sweeps,sweep's,sweeps') (Noun)
sweeper (sweeper,sweepers,sweeper's,sweepers') (Noun)
sweet (sweet) (Adverb)
sweet (sweet,sweeter,sweetest) (Adjective)
sweet (sweet,sweets,sweet's,sweets') (Noun)
swell (swell,swells,swelled,swollen,swelling) (Verb)
swell (swell,sweller,swellest) (Adjective)
swell (swell,swells,swell's,swells') (Noun)
swift (swift,swifter,swiftest) (Adverb)
swift (swift,swifter,swiftest) (Adjective)
swift (swift,swifts,swift's,swifts') (Noun)
swim (swim,swims,swam,swum,swimming) (Verb)
swim (swim,swims,swim's,swims') (Noun)
swing (swing,swings,swung,swinging) (Verb)
swing (swing) (Adjective)
swing (swing,swings,swing's,swings') (Noun)
swirl (swirl,swirls,swirled,swirling) (Verb)
swirl (swirl,swirls,swirl's,swirls') (Noun)
switch (switch,switches,switched,switching) (Verb)
switch (switch,switches,switch's,switches') (Noun)
swoop (swoop,swoops,swooped,swooping) (Verb)
swoop (swoop,swoops,swoop's,swoops') (Noun)
sword (sword,swords,sword's,swords') (Noun)
symbol (symbol,symbols,symboled,symboling) (Verb)
symbol (symbol,symbols,symbol's,symbols') (Noun)
sympathy (sympathy,sympathies,sympathy's,sympathies') (Noun)
system (system,systems,system's,systems') (Noun)
table (table,tables,tabled,tabling) (Verb)
table (table,tables,table's,tables') (Noun)
tail (tail,tails,tailed,tailing) (Verb)
tail (tail) (Adjective)
tail (tail,tails,tail's,tails') (Noun)
take (take,takes,took,taken,taking) (Verb)
take (take,takes,take's,takes') (Noun)
tale (tale,tales,tale's,tales') (Noun)
talent (talent,talents,talent's,talents') (Noun)
talk (talk,talks,talked,talking) (Verb)
talk (talk,talks,talk's,talks') (Noun)
tall (tall,taller,tallest) (Adverb)
tall (tall,taller,tallest) (Adjective)
tangle (tangle,tangles,tangled,tangling) (Verb)
tangle (tangle,tangles,tangle's,tangles') (Noun)
tap (tap,taps,tapped,tapping) (Verb)
tap (tap,taps,tap's,taps') (Noun)
task (task,tasks,tasked,tasking) (Verb)
task (task,tasks,task's,tasks') (Noun)
taste (taste,tastes,tasted,tasting) (Verb)
taste (taste,tastes,taste's,tastes') (Noun)
tea (tea,teas,tea's,teas') (Noun)
teach (teach,teaches,taught,teaching) (Verb)
teacher (teacher,teachers,teacher's,teachers') (Noun)
team (team,teams,teamed,teaming) (Verb)
team (team) (Adjective)
team (team,teams,team's,teams') (Noun)
tear (tear,tears,tore,torn,tearing) (Verb)
tear (tear,tears,teared,tearing) (Verb)
tear (tear,tears,tear's,tears') (Noun)
tooth (tooth,teeth,tooth's,teeth's) (Noun)
telephone (telephone,telephones,telephoned,telephoning) (Verb)
telephone (telephone,telephones,telephone's,telephones') (Noun)
tell (tell,tells,told,telling) (Verb)
temper (temper,tempers,tempered,tempering) (Verb)
temper (temper,tempers,temper's,tempers') (Noun)
temple (temple,temples,temple's,temples') (Noun)
temporary (temporary) (Adjective)
temporary (temporary,temporaries,temporary's,temporaries') (Noun)
tempt (tempt,tempts,tempted,tempting) (Verb)
ten (ten) (Adjective)
ten (ten,tens,ten's,tens') (Noun)
tend (tend,tends,tended,tending) (Verb)
tender (tender,tenders,tendered,tendering) (Verb)
tender (tender,tenderer,tenderest) (Adjective)
tender (tender,tenders,tender's,tenders') (Noun)
tense (tense,tenses,tensed,tensing) (Verb)
tense (tense,tenser,tensest) (Adjective)
tense (tense,tenses,tense's,tenses') (Noun)
tent (tent,tents,tented,tenting) (Verb)
tent (tent,tents,tent's,tents') (Noun)
term (term,terms,termed,terming) (Verb)
term (term,terms,term's,terms') (Noun)
terrace (terrace,terraces,terraced,terracing) (Verb)
terrace (terrace,terraces,terrace's,terraces') (Noun)
terrible (terrible) (Adjective)
terrify (terrify,terrifies,terrified,terrifying) (Verb)
terror (terror,terrors,terror's,terrors') (Noun)
terrorist (terrorist) (Adjective)
terrorist (terrorist,terrorists,terrorist's,terrorists') (Noun)
test (test,tests,tested,testing) (Verb)
test (test) (Adjective)
test (test,tests,test's,tests') (Noun)
than (than) (Conjunction)
than (than) (Preposition)
thank (thank,thanks,thanked,thanking) (Verb)
that (that) (Conjunction)
that (that,those) (Pronoun)
that (that) (PronounRelative)
that (that) (Adverb)
that (that) (Adjective)
the (the) (Article)
thou (thou,thee,thy,thine,thyself) (PronounPerson2)
they (they,them,their,theirs,themselves) (PronounPerson2)
then (then) (Adverb)
then (then) (Adjective)
theory (theory,theories,theory's,theories') (Noun)
there (there) (Adverb)
there (there) (Adjective)
therefore (therefore) (Adverb)
this (this,these) (Pronoun)
these (these) (Adjective)
thick (thick,thicker,thickest) (Adverb)
thick (thick,thicker,thickest) (Adjective)
thick (thick,thick's) (Noun)
thief (thief,thieves,thief's,thieves') (Noun)
thieve (thieve,thieves,thieved,thieving) (Verb)
thin (thin,thins,thinned,thinning) (Verb)
thin (thin,thinner,thinnest) (Adverb)
thin (thin,thinner,thinnest) (Adjective)
thing (thing,things,thing's,things') (Noun)
think (think,thinks,thought,thinking) (Verb)
think (think) (Adjective)
third (third) (Adverb)
third (third) (Adjective)
third (third,thirds,third's,thirds') (Noun)
thirteen (thirteen) (Adjective)
thirteen (thirteen,thirteens,thirteen's,thirteens') (Noun)
thirty (thirty) (Adjective)
thirty (thirty,thirties,thirty's,thirties') (Noun)
this (this) (Adverb)
this (this) (Adjective)
